postal_code,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1.0,0.43,0.55,0.55,0.25,0.56,0.25,0.17,0.24,0.32,0.24,0.22,0.65,0.65,0.24,0.62,0.69,0.63,0.31,0.25,0.21,0.5,0.51,0.6,0.58,0.31,0.64,0.46,0.67,0.59,0.48,0.22,0.37,0.37,0.22,0.53,0.65,0.59,0.49,0.35,0.39,0.67,0.53,0.42,0.58,0.3,0.42,0.55,0.58,0.59,0.64
AL,0.43,1.0,0.7,0.24,0.24,0.29,0.2,0.15,0.43,0.41,0.68,0.23,0.59,0.52,0.17,0.65,0.62,0.7,0.71,0.2,0.21,0.48,0.61,0.51,0.67,0.7,0.59,0.78,0.56,0.49,0.43,0.21,0.22,0.22,0.2,0.62,0.66,0.43,0.54,0.2,0.79,0.58,0.72,0.25,0.28,0.52,0.34,0.28,0.54,0.66,0.58
AR,0.55,0.7,1.0,0.29,0.21,0.38,0.18,0.13,0.38,0.39,0.55,0.21,0.64,0.58,0.19,0.68,0.68,0.72,0.59,0.17,0.19,0.5,0.6,0.56,0.68,0.59,0.63,0.72,0.63,0.53,0.45,0.19,0.21,0.21,0.19,0.62,0.69,0.51,0.54,0.23,0.7,0.65,0.72,0.23,0.35,0.46,0.36,0.36,0.57,0.69,0.63
AZ,0.55,0.24,0.29,1.0,0.58,0.61,0.49,0.16,0.36,0.62,0.23,0.45,0.49,0.49,0.52,0.45,0.44,0.41,0.23,0.49,0.22,0.46,0.51,0.51,0.42,0.22,0.46,0.28,0.41,0.47,0.47,0.53,0.59,0.8,0.53,0.5,0.41,0.57,0.55,0.57,0.26,0.43,0.31,0.59,0.55,0.3,0.38,0.67,0.54,0.41,0.41
CA,0.25,0.24,0.21,0.58,1.0,0.31,0.28,0.25,0.22,0.37,0.24,0.67,0.25,0.22,0.33,0.23,0.25,0.24,0.23,0.32,0.22,0.25,0.26,0.26,0.24,0.23,0.25,0.25,0.23,0.21,0.26,0.5,0.63,0.62,0.53,0.26,0.24,0.24,0.27,0.31,0.26,0.23,0.23,0.6,0.25,0.24,0.23,0.33,0.26,0.23,0.22
CO,0.56,0.29,0.38,0.61,0.31,1.0,0.53,0.16,0.34,0.42,0.24,0.21,0.63,0.61,0.49,0.57,0.65,0.54,0.22,0.58,0.23,0.56,0.58,0.73,0.57,0.21,0.63,0.39,0.58,0.61,0.63,0.44,0.26,0.41,0.41,0.6,0.49,0.7,0.64,0.57,0.29,0.57,0.44,0.29,0.65,0.54,0.5,0.75,0.66,0.51,0.53
CT,0.25,0.2,0.18,0.49,0.28,0.53,1.0,0.12,0.59,0.58,0.21,0.24,0.45,0.34,0.58,0.32,0.31,0.29,0.19,0.72,0.43,0.6,0.54,0.54,0.36,0.2,0.46,0.27,0.33,0.38,0.64,0.63,0.28,0.44,0.55,0.49,0.19,0.51,0.61,0.67,0.23,0.34,0.19,0.22,0.37,0.55,0.6,0.61,0.57,0.33,0.3
DC,0.17,0.15,0.13,0.16,0.25,0.16,0.12,1.0,0.15,0.18,0.17,0.19,0.17,0.16,0.12,0.16,0.16,0.16,0.15,0.22,0.5,0.16,0.17,0.16,0.16,0.13,0.17,0.16,0.15,0.15,0.16,0.28,0.16,0.16,0.33,0.15,0.14,0.16,0.17,0.12,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.14
DE,0.24,0.43,0.38,0.36,0.22,0.34,0.59,0.15,1.0,0.63,0.48,0.2,0.57,0.42,0.57,0.5,0.4,0.47,0.47,0.5,0.47,0.62,0.71,0.56,0.54,0.36,0.52,0.54,0.41,0.44,0.61,0.44,0.22,0.38,0.42,0.65,0.28,0.49,0.7,0.56,0.53,0.43,0.42,0.23,0.32,0.67,0.57,0.46,0.64,0.49,0.38
FL,0.32,0.41,0.39,0.62,0.37,0.42,0.58,0.18,0.63,1.0,0.36,0.33,0.51,0.44,0.56,0.49,0.42,0.48,0.36,0.47,0.37,0.6,0.67,0.53,0.51,0.3,0.52,0.5,0.37,0.44,0.59,0.57,0.41,0.63,0.52,0.62,0.38,0.58,0.71,0.58,0.48,0.42,0.43,0.32,0.29,0.54,0.47,0.55,0.61,0.52,0.4
GA,0.24,0.68,0.55,0.23,0.24,0.24,0.21,0.17,0.48,0.36,1.0,0.21,0.43,0.36,0.22,0.53,0.44,0.55,0.76,0.22,0.31,0.32,0.52,0.36,0.55,0.74,0.39,0.7,0.39,0.35,0.27,0.25,0.25,0.24,0.25,0.52,0.47,0.26,0.44,0.21,0.74,0.39,0.59,0.26,0.24,0.51,0.22,0.22,0.4,0.49,0.39
