postal_code,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1.0,0.46826491996974984,0.023274304513401668,0.655243983955343,-0.39032495620419283,0.7341518631086401,0.9774939875612623,-0.3931852679904056,0.8609978843539923,-0.3444257401926598,0.8901008172685702,-0.7710699108317892,0.2817987941904924,0.7788683950548205,-0.11556660669121131,0.6153588042695858,0.8633968074788916,0.7908705365682785,0.22640227479249822,0.7652435388335708,0.9644636621640372,0.9839322497675338,0.49018010965985903,0.8998551936840604,0.6347194285679455,0.2256418931121811,0.8683267258192823,0.39040941579659755,0.8297040482756496,0.8299999569459421,0.879131502606456,0.25199900010025844,0.27776860052956553,-0.022598099955703697,-0.014458309317066898,0.06112538228446509,0.7569925120500204,0.6886849084705102,0.3088351423828892,0.7500231656633046,0.4909548215276297,0.8121753489590484,0.5751230007709919,0.602631645145327,0.5410237042742448,0.7453442152846997,0.9996878526938574,0.36448229799944704,0.23274566587633233,0.756295348379557,0.9686564766178642
AL,0.46826491996974984,1.0,0.0497032844461319,0.7146420744576627,-0.8335558346531875,0.3437775634242101,0.4790463429222907,-0.8396641542479961,0.4031751054111461,-0.7355360726464624,0.5260807662290464,-0.6072924301567034,0.6017935193793649,0.6012118644726765,-0.24679748954646652,0.7609624120444131,0.4042984369562406,0.592087956647912,0.4834918550104585,0.6119162021067264,0.48551846828429984,0.4759117511194325,0.9552915565967857,0.5203780822252584,0.737751042261696,0.48186802702785786,0.5392727253994553,0.8337362017676195,0.5643758409313918,0.3886598634141874,0.41166644271089803,0.5381547695619345,0.5931868664163644,-0.04825922035151287,-0.030876345206471825,0.13053589897021076,0.618585933831282,0.6799407308194283,0.6595308108983268,0.6243339424797982,0.9537841353970633,0.5765564302954,0.8141996048532375,0.777033406297185,0.8655164575421014,0.6282532424175135,0.46811875233642014,0.7783677197578516,0.49703844116994245,0.6191561550299854,0.45358784750164405
AR,0.023274304513401668,0.0497032844461319,1.0,0.03552005830394298,-0.05962802055942857,0.017086874021071667,0.023810176645145863,-0.05919424354925119,0.02003912694584941,-0.06757423095144639,0.026147941965521317,-0.03018442839806132,0.08259192371727657,0.029882204312274743,-0.2013929904127889,0.03782233121865809,0.020094960213162556,0.029428716126400186,0.10280066547358231,0.030414245050507358,0.024131862532984827,0.023654377137145886,0.047481127966518155,0.025864499840374634,0.03666864990396335,0.10314708936531795,0.026803625664569904,0.059615120874870316,0.028051332956337858,0.01931767174407013,0.020461174298987028,0.09235871770976047,0.08379026451884493,-0.9709463044402208,-0.6212133775572801,0.3807633366624652,0.03074575262359234,0.03379528755042885,0.07536158072498929,0.031031447532448367,0.047406204181848224,0.02865674825421869,0.04046839455594866,0.03862111241733577,0.04301901068202351,0.031226249612082334,0.023267039501945464,0.06385578844610164,0.09999887398877835,0.030774094490028707,0.022544805805682914
AZ,0.655243983955343,0.7146420744576627,0.03552005830394298,1.0,-0.5956940708528424,0.481048591611543,0.6703304493873187,-0.6000593330395269,0.5641636839212316,-0.52564502479451,0.73614580645603,-0.849785440659331,0.430066969084447,0.8412768936518779,-0.17637186990043016,0.9391292699171496,0.5657355638667932,0.8285097922582346,0.34552362224805755,0.856255493452587,0.6793869065892275,0.6659442091771589,0.7480879209312455,0.7281660299950433,0.9686764687811367,0.3443631664500094,0.7546053397551575,0.5958229687816641,0.7897321765720176,0.5438524784720223,0.5760456281885012,0.3845880408990263,0.4239162927568311,-0.034488069343714615,-0.022065535390023937,0.0932864456312673,0.8655884616095727,0.9514423445267072,0.4713284668691247,0.8736316609312449,0.7492702467316202,0.8067764981972899,0.8777234356266724,0.919705727792532,0.8256828258206752,0.8791159447116108,0.6550394513108851,0.5562543219386318,0.3552045826828906,0.8663863732062782,0.634706328823235
CA,-0.39032495620419283,-0.8335558346531875,-0.05962802055942857,-0.5956940708528424,1.0,-0.28655779381510654,-0.3993118742121471,0.99272528240737,-0.33606896150237475,0.882407682926834,-0.4385176921890412,0.5062121484978335,-0.7219594589362445,-0.5011436574939209,0.29607793417839856,-0.6343046585113834,-0.33700532106603825,-0.49353837089175057,-0.5800353556539161,-0.5100663205848809,-0.4047067520702567,-0.3966990169256186,-0.7962888507961764,-0.4337641866645003,-0.614956685798707,-0.5780872822134894,-0.44951392672604207,-0.9997836640485928,-0.47043877514566085,-0.3239696968444068,-0.3431469652525912,-0.6456133436890179,-0.7116342322325271,0.05789560620326267,0.037041724048777556,-0.15660126597820773,-0.5156259143794557,-0.5667685633928868,-0.7912257145590419,-0.5204172005260634,-0.7950323310598679,-0.48059197647954455,-0.6786808311977358,-0.6477007295394593,-0.7214562931725764,-0.5236841558569018,-0.3902031173205935,-0.933791939782537,-0.5962869198519164,-0.5161012255866778,-0.37809079681277563
CO,0.7341518631086401,0.3437775634242101,0.017086874021071667,0.481048591611543,-0.28655779381510654,1.0,0.7176290321455946,-0.28865769704202626,0.8526755715079081,-0.2528607988650136,0.6534691733522441,-0.5660824116241711,0.20688310977671825,0.5718076833459329,-0.08484343961549623,0.45176681263482144,0.8503064370279002,0.5806190778993316,0.1662136518509469,0.5618049697665151,0.7080627944783101,0.7223556943395107,0.35986664076558306,0.6606303669711392,0.4659804510344086,0.1656554162236684,0.6374836835472514,0.28661979998222786,0.6091287728703493,0.8845203628805193,0.8350876529074671,0.18500553542511913,0.20392433559186016,-0.016590437185195147,-0.010614594722525674,0.044875313287367914,0.5557474630808121,0.5055993086484284,0.22673189517382028,0.5506309044463553,0.36043539692667925,0.5962600456091953,0.4222276225326556,0.44242314505166663,0.3971935604788748,0.5471958443085096,0.7343810981901223,0.26758535814641266,0.17087066423357042,0.5552356390732498,0.7579073498501612
CT,0.9774939875612623,0.4790463429222907,0.023810176645145863,0.6703304493873187,-0.3993118742121471,0.7176290321455946,1.0,-0.40223804237544075,0.8416202552589945,-0.35235586568871213,0.9105946722897721,-0.7888231750207712,0.28828698465301944,0.7968012130673148,-0.11822743480963706,0.6295269455363474,0.8439651881902052,0.8090796942305617,0.23161500497547455,0.7828626554959867,0.9866696618464793,0.9934566000781125,0.5014661122190668,0.9205736353725286,0.6493333326289803,0.23083711611887484,0.8883192499072653,0.39939827841869924,0.8488073162942598,0.811319967590765,0.859345758073509,0.25780107428483284,0.28416399902629275,-0.02311840302167323,-0.01479120025396653,0.06253274502175307,0.7744216554606455,0.704541324278323,0.31594582300541635,0.7672918454818614,0.5022586612041541,0.8308750327818738,0.5883647450414086,0.6165067538152589,0.5534803396837643,0.7625051660361102,0.9771888654462744,0.3728742095987613,0.23810444753425708,0.7737084401577026,0.9468558819062388
DC,-0.3931852679904056,-0.8396641542479961,-0.05919424354925119,-0.6000593330395269,0.99272528240737,-0.28865769704202626,-0.40223804237544075,1.0,-0.3385316838988967,0.8759884162319743,-0.44173116164185006,0.5099216847487387,-0.7167074077591553,-0.5048160517063108,0.2939240508218414,-0.6389528601237873,-0.3394749051306486,-0.49715503335919325,-0.5758157622477932,-0.5138041003125903,-0.4076724540437192,-0.39960603800038114,-0.8021240769300918,-0.4369428223008658,-0.6194631049462446,-0.5738818604914953,-0.45280797688154545,-0.9929400910466569,-0.4738861631536587,-0.3263437555038154,-0.34566155545112737,-0.6409166889396467,-0.7064572941637874,0.057474432018279814,0.03677225596717857,-0.15546203599356792,-0.5194044349601503,-0.5709218586822596,-0.7854697709335979,-0.5242308317806169,-0.8008583493833314,-0.4841137674202309,-0.6836542225981463,-0.6524470979209654,-0.7267431443098102,-0.5275217274480628,-0.39306253626818743,-0.9269988671303449,-0.5919491009058145,-0.519883229260694,-0.38086145634963703
DE,0.8609978843539923,0.4031751054111461,0.02003912694584941,0.5641636839212316,-0.33606896150237475,0.8526755715079081,0.8416202552589945,-0.3385316838988967,1.0,-0.2965498336229379,0.7663749205299984,-0.663889561915192,0.24262816561152006,0.67060404033239,-0.09950260386310288,0.5298226285947158,0.9972215288449999,0.6809378587831946,0.19493187960927216,0.6588730679512665,0.8304011726595397,0.8471635853975105,0.42204403736954654,0.774773417986928,0.546492085155376,0.1942771925912176,0.7476274738584312,0.3361416810327486,0.714373430205277,0.9639976729660515,0.9793732584957984,0.216970605945644,0.23915817739592515,-0.01945691625228093,-0.012448573733330213,0.052628824827253444,0.6517689513468815,0.5929562491796322,0.2659064042058316,0.6457683588525891,0.422711062648681,0.6992812571782061,0.49517968690714353,0.5188645715148923,0.46582026476548477,0.6417397924756131,0.8612667264425217,0.31381848746200525,0.20039352591208331,0.6511686949015641,0.8888578202256285
FL,-0.3444257401926598,-0.7355360726464624,-0.06757423095144639,-0.52564502479451,0.882407682926834,-0.2528607988650136,-0.35235586568871213,0.8759884162319743,-0.2965498336229379,1.0,-0.38695138068695445,0.4466854890253876,-0.8181699603312573,-0.44221301362268967,0.33553417531038,-0.5597153039867266,-0.2973760844958966,-0.4355020502940741,-0.6573326217310491,-0.4500864400863204,-0.3571163473591599,-0.350050260344688,-0.7026513997715255,-0.38275685089126443,-0.5426425042160021,-0.6551249421311104,-0.39665454252566945,-0.882216786421219,-0.41511878953522047,-0.28587334953098187,-0.30279551851191383,-0.7316497308223797,-0.8064687626836237,0.06561094981769686,0.041978016245183714,-0.17747042439474375,-0.4549922683646056,-0.5001209347792878,-0.896666846705875,-0.45922013607147316,-0.7015426371024577,-0.4240780523985424,-0.5988731797040519,-0.5715360999829344,-0.6366185759913958,-0.4621029225551837,-0.34431822862569245,-0.9449724776295784,-0.6757499185343769,-0.4554116866256397,-0.33363022395152175
GA,0.8901008172685702,0.5260807662290464,0.026147941965521317,0.73614580645603,-0.4385176921890412,0.6534691733522441,0.9105946722897721,-0.44173116164185006,0.7663749205299984,-0.38695138068695445,1.0,-0.8662725568525506,0.3165919957867708,0.8750339062095396,-0.12983541240401017,0.6913360737696228,0.7685102039640357,0.8885179310307825,0.254355765549405,0.8597268129489581,0.9228972041013823,0.90463628718224,0.5507017858539466,0.9891600598807956,0.7130871203058693,0.2535015008800943,0.9755374997676044,0.4386125798588041,0.9321461481427928,0.7387836400104612,0.7825156689565527,0.28311287352095843,0.312064201201328,-0.025388247620140282,-0.01624345134457324,0.06867242575064586,0.8504570463972655,0.7737156231176825,0.3469664743490561,0.8426272070672642,0.5515721500337571,0.9124532111444974,0.6461324263647541,0.6770375146880635,0.6078229496906548,0.8373705549130026,0.8898229746962645,0.40948428641816625,0.26148236397597413,0.849673805154321,0.8622019214900546
HI,-0.7710699108317892,-0.6072924301567034,-0.03018442839806132,-0.849785440659331,0.5062121484978335,-0.5660824116241711,-0.7888231750207712,0.5099216847487387,-0.663889561915192,0.4466854890253876,-0.8662725568525506,1.0,-0.3654646488364497,-0.9899874172934152,0.14987824718324724,-0.7980583804726208,-0.6657392993552004,-0.9749635056296222,-0.2936209435902738,-0.9924437824425891,-0.7994805207089747,-0.7836615895189573,-0.6357142235404813,-0.8568822142093588,-0.823167159879503,-0.2926348051485638,-0.8879951381253071,-0.5063216840810773,-0.9293312626764711,-0.6399879927926965,-0.6778718493241769,-0.3268173178076879,-0.3602378936430337,0.029307459204738092,0.018750970714795555,-0.0792734633083092,-0.9817430318781563,-0.8931549510570237,-0.4005280689136661,-0.9727044916773104,-0.6367189467917556,-0.9493884686601934,-0.7458765965210338,-0.7815525371690876,-0.7016532439848642,-0.9666363643740968,-0.7708292234362754,-0.4726968240872776,-0.301847682819394,-0.9808388808269095,-0.7469018630523716
IA,0.2817987941904924,0.6017935193793649,0.08259192371727657,0.430066969084447,-0.7219594589362445,0.20688310977671825,0.28828698465301944,-0.7167074077591553,0.24262816561152006,-0.8181699603312573,0.3165919957867708,-0.3654646488364497,1.0,0.3618054038136418,-0.4101032689766932,0.45794224805961775,0.24330417925547235,0.3563146952132838,0.8034181815535135,0.36824720483106166,0.2921818677524874,0.2864006076201597,0.5748882678777715,0.3131601575102228,0.4439737961484606,0.8007198673804475,0.32453083132343996,0.7218032731498181,0.3396377235667909,0.2338929870455271,0.24773819736937502,0.8942515202173303,0.985698328935352,-0.0801923231098983,-0.0513072078913626,0.21691144016444977,0.3722610061588982,0.4091839253692012,0.9124570216206886,0.3757201205129118,0.5739811115688035,0.3469679233082723,0.48998004568191805,0.46761366825091893,0.5208621950650218,0.37807872981593277,0.2817108314560116,0.773148094536322,0.8259285372207775,0.3726041615808906,0.27296622709572504
ID,0.7788683950548205,0.6012118644726765,0.029882204312274743,0.8412768936518779,-0.5011436574939209,0.5718076833459329,0.7968012130673148,-0.5048160517063108,0.67060404033239,-0.44221301362268967,0.8750339062095396,-0.9899874172934152,0.3618054038136418,1.0,-0.14837757883740701,0.7900677549334555,0.6724724857365402,0.984824138770503,0.2906810396081907,0.9825068569892469,0.8075663455346953,0.7915874240719702,0.6293490822995299,0.8655485910639547,0.8149251306098648,0.2897047749591885,0.8969761863772463,0.5012520963430781,0.9387303782276591,0.6464607343620561,0.6847277424772231,0.3235450323831942,0.3566309819388869,-0.02901401584553079,-0.018563225069684913,0.07847973120049734,0.9719132485748629,0.8842121632397695,0.39651774849735927,0.9629652075053249,0.6303437456761536,0.9589904397530449,0.7384084454094609,0.7737271777511409,0.6946278828481222,0.9569578378286088,0.7786252733834645,0.4679639080409637,0.2988254079303738,0.971018150410796,0.7544559153028132
IL,-0.11556660669121131,-0.24679748954646652,-0.2013929904127889,-0.17637186990043016,0.29607793417839856,-0.08484343961549623,-0.11822743480963706,0.2939240508218414,-0.09950260386310288,0.33553417531038,-0.12983541240401017,0.14987824718324724,-0.4101032689766932,-0.14837757883740701,1.0,-0.18780361293178496,-0.09977983926836055,-0.14612582129140178,-0.5104480809529418,-0.1510193824927483,-0.11982473910101092,-0.11745382542193872,-0.23576355795302295,-0.1284280043081985,-0.18207510514047567,-0.5121682197275118,-0.13309115480946657,-0.2960138818768174,-0.13928654070254343,-0.09592027857809401,-0.10159824459157392,-0.4585994652567385,-0.4160535297038027,0.1955417797814622,0.12510801979068953,-0.5289190713004952,-0.15266545553831704,-0.16780766540662465,-0.3742016073673816,-0.15408404964266223,-0.23539153018524234,-0.14229267957877706,-0.20094241846750405,-0.1917698939678848,-0.2136072888825415,-0.15505132302806998,-0.1155305328862526,-0.3170705609724471,-0.4965360203640345,-0.15280618469864324,-0.11194434205219124
IN,0.6153588042695858,0.7609624120444131,0.03782233121865809,0.9391292699171496,-0.6343046585113834,0.45176681263482144,0.6295269455363474,-0.6389528601237873,0.5298226285947158,-0.5597153039867266,0.6913360737696228,-0.7980583804726208,0.45794224805961775,0.7900677549334555,-0.18780361293178496,1.0,0.5312988270603884,0.7780777963226851,0.3679191281925861,0.8041345964286767,0.6380321295764119,0.6254076989700987,0.7965760890374999,0.6838420321277142,0.9694973504402707,0.3666834561342011,0.7086719617998437,0.6344419111058351,0.7416606024141602,0.5107477810500626,0.540981310239633,0.40951555149905494,0.45139290866126364,-0.03672345272207006,-0.02349573812343275,0.09933291253875738,0.8128994600001067,0.8935273543836276,0.5018781566787984,0.8204530639068668,0.7978350486272473,0.7576674237383354,0.9346140768289605,0.9793174989356564,0.8792003958022917,0.8256035153295402,0.6151667216765219,0.5923085774844444,0.3782275710714745,0.8136488021353792,0.5960712911995589
KS,0.8633968074788916,0.4042984369562406,0.020094960213162556,0.5657355638667932,-0.33700532106603825,0.8503064370279002,0.8439651881902052,-0.3394749051306486,0.9972215288449999,-0.2973760844958966,0.7685102039640357,-0.6657392993552004,0.24330417925547235,0.6724724857365402,-0.09977983926836055,0.5312988270603884,1.0,0.6828350964021697,0.19547500126180167,0.6607088283727541,0.83271484684183,0.8495239632248119,0.42321994176997524,0.7769321014201174,0.5480147282703904,0.19481849014655045,0.7497105229209671,0.33707824320848145,0.7163638264335079,0.9613192332382282,0.9821020005756657,0.217575132174436,0.23982452291510645,-0.019511127356843454,-0.012483258105897873,0.05277545992033395,0.6535849181894139,0.5946083513323311,0.26664727597067545,0.647567606768909,0.42388882552332446,0.7012296034042971,0.4965593627733545,0.5203102385042275,0.46711813904078686,0.6435278159496693,0.8636663986186263,0.31469285247529255,0.20095186487217412,0.6529829893020456,0.8913343670539481
