state,postal_code,dem_final_2020,gop_final_2020
Alabama,AL,0,9
Alaska,AK,0,3
Arizona,AZ,11,0
Arkansas,AR,0,6
California,CA,55,0
Colorado,CO,9,0
Connecticut,CT,7,0
Delaware,DE,3,0
District of Columbia,DC,3,0
Florida,FL,0,29
Georgia,GA,16,0
Hawaii,HI,4,0
Idaho,ID,0,4
Illinois,IL,20,0
Indiana,IN,0,11
Iowa,IA,0,6
Kansas,KS,0,6
Kentucky,KY,0,8
Louisiana,LA,0,8
Maine*,ME,4,0
Maryland,MD,10,0
Massachusetts,MA,11,0
Michigan,MI,16,0
Minnesota,MN,10,0
Mississippi,MS,0,6
Missouri,MO,0,10
Montana,MT,0,3
Nebraska**,NE,0,5
Nevada,NV,6,0
New Hampshire,NH,4,0
New Jersey,NJ,14,0
New Mexico,NM,5,0
New York,NY,29,0
North Carolina,NC,0,15
North Dakota,ND,0,3
Ohio,OH,0,18
Oklahoma,OK,0,7
Oregon,OR,7,0
Pennsylvania,PA,20,0
Rhode Island,RI,4,0
South Carolina,SC,0,9
South Dakota,SD,0,3
Tennessee,TN,0,11
Texas,TX,0,38
Utah,UT,0,6
Vermont,VT,3,0
Virginia,VA,13,0
Washington,WA,12,0
West Virginia,WV,0,5
Wisconsin,WI,10,0
Wyoming,WY,0,3
