state,postal_code,dem_final_2022,gop_final_2022
Alabama,AL,0,1
Alaska,AK,0,1
Arizona,AZ,1,0
Arkansas,AR,0,1
California,CA,1,0
Colorado,CO,1,0
Connecticut,CT,1,0
Delaware,DE,0,0
District of Columbia,DC,0,0
Florida,FL,0,1
Georgia,GA,1,0
Hawaii,HI,1,0
Idaho,ID,0,1
Illinois,IL,1,0
Indiana,IN,0,1
Iowa,IA,0,1
Kansas,KS,0,1
Kentucky,KY,0,1
Louisiana,LA,0,1
Maine*,ME,0,0
Maryland,MD,1,0
Massachusetts,MA,0,0
Michigan,MI,0,0
Minnesota,MN,0,0
Mississippi,MS,0,0
Missouri,MO,0,1
Montana,MT,0,0
Nebraska**,NE,0,0
Nevada,NV,1,0
New Hampshire,NH,1,0
New Jersey,NJ,0,0
New Mexico,NM,0,0
New York,NY,1,0
North Carolina,NC,0,1
North Dakota,ND,0,1
Ohio,OH,0,1
Oklahoma,OK,0,1
Oregon,OR,1,0
Pennsylvania,PA,1,0
Rhode Island,RI,0,0
South Carolina,SC,0,1
South Dakota,SD,0,1
Tennessee,TN,0,0
Texas,TX,0,0
Utah,UT,0,1
Vermont,VT,1,0
Virginia,VA,0,0
Washington,WA,1,0
West Virginia,WV,0,0
Wisconsin,WI,0,1
Wyoming,WY,0,0
